system,question,type,latency,faithfulness,relevance,reasoning,Quality_Score
Voyage + Mixtral 8x7b (Pro),"Compare Bank of America's Net Income in 2022, 2023, and 2024 using the respective Annual Reports.",time_series_comparison,0.562777042388916,0.0,0.0,"Error: 404 POST https://generativelanguage.googleapis.com/v1beta/models/gemini-1.5-flash:generateContent?%24alt=json%3Benum-encoding%3Dint: models/gemini-1.5-flash is not found for API version v1beta, or is not supported for generateContent. Call ListModels to see the list of available models and their supported methods.",0.0
Voyage + Mixtral 8x7b (Pro),How has Barclays' CET1 Ratio changed between the 2022 and 2023 Pillar 3 Reports?,time_series_comparison,0.45700526237487793,0.0,0.0,"Error: 404 POST https://generativelanguage.googleapis.com/v1beta/models/gemini-1.5-flash:generateContent?%24alt=json%3Benum-encoding%3Dint: models/gemini-1.5-flash is not found for API version v1beta, or is not supported for generateContent. Call ListModels to see the list of available models and their supported methods.",0.0
Voyage + Mixtral 8x7b (Pro),Analyze the evolution of ING's Operating Expenses from 2022 to 2024 using the provided annual reports.,time_series_comparison,0.5267972946166992,0.0,0.0,"Error: 404 POST https://generativelanguage.googleapis.com/v1beta/models/gemini-1.5-flash:generateContent?%24alt=json%3Benum-encoding%3Dint: models/gemini-1.5-flash is not found for API version v1beta, or is not supported for generateContent. Call ListModels to see the list of available models and their supported methods.",0.0
Voyage + Mixtral 8x7b (Pro),Was there an increase or decrease in Risk Weighted Assets for HSBC between the 2022 report and the 2023 report?,time_series_comparison,0.48192930221557617,0.0,0.0,"Error: 404 POST https://generativelanguage.googleapis.com/v1beta/models/gemini-1.5-flash:generateContent?%24alt=json%3Benum-encoding%3Dint: models/gemini-1.5-flash is not found for API version v1beta, or is not supported for generateContent. Call ListModels to see the list of available models and their supported methods.",0.0
Voyage + Mixtral 8x7b (Pro),How has the Wells Fargo CEO's compensation varied when comparing the 2022 report with the most recent data available?,time_series_comparison,0.4424116611480713,0.0,0.0,"Error: 404 POST https://generativelanguage.googleapis.com/v1beta/models/gemini-1.5-flash:generateContent?%24alt=json%3Benum-encoding%3Dint: models/gemini-1.5-flash is not found for API version v1beta, or is not supported for generateContent. Call ListModels to see the list of available models and their supported methods.",0.0
Voyage + Mixtral 8x7b (Pro),Compare the 2023 Liquidity Coverage Ratio (LCR) between Barclays (from Pillar 3) and ING (from Pillar 3). Who has a better liquidity position?,cross_entity_comparison,0.5533096790313721,0.0,0.0,"Error: 404 POST https://generativelanguage.googleapis.com/v1beta/models/gemini-1.5-flash:generateContent?%24alt=json%3Benum-encoding%3Dint: models/gemini-1.5-flash is not found for API version v1beta, or is not supported for generateContent. Call ListModels to see the list of available models and their supported methods.",0.0
Voyage + Mixtral 8x7b (Pro),Who reported higher revenues in 2022: Wells Fargo or Bank of America?,cross_entity_comparison,0.44651174545288086,0.0,0.0,"Error: 404 POST https://generativelanguage.googleapis.com/v1beta/models/gemini-1.5-flash:generateContent?%24alt=json%3Benum-encoding%3Dint: models/gemini-1.5-flash is not found for API version v1beta, or is not supported for generateContent. Call ListModels to see the list of available models and their supported methods.",0.0
Voyage + Mixtral 8x7b (Pro),What are the main differences in the approach to Climate Risk between ING's 2024 ESG report and Bank of America's reports?,cross_entity_comparison,0.4314239025115967,0.0,0.0,"Error: 404 POST https://generativelanguage.googleapis.com/v1beta/models/gemini-1.5-flash:generateContent?%24alt=json%3Benum-encoding%3Dint: models/gemini-1.5-flash is not found for API version v1beta, or is not supported for generateContent. Call ListModels to see the list of available models and their supported methods.",0.0
Voyage + Mixtral 8x7b (Pro),Compare the capital structure (Tier 1 Capital) between Goldman Sachs and HSBC based on the 2023 reports.,cross_entity_comparison,0.45637011528015137,0.0,0.0,"Error: 404 POST https://generativelanguage.googleapis.com/v1beta/models/gemini-1.5-flash:generateContent?%24alt=json%3Benum-encoding%3Dint: models/gemini-1.5-flash is not found for API version v1beta, or is not supported for generateContent. Call ListModels to see the list of available models and their supported methods.",0.0
Voyage + Mixtral 8x7b (Pro),Which bank has a higher percentage of women on the Board of Directors according to the 2025 Proxy Statements?,cross_entity_comparison,0.4627864360809326,0.0,0.0,"Error: 404 POST https://generativelanguage.googleapis.com/v1beta/models/gemini-1.5-flash:generateContent?%24alt=json%3Benum-encoding%3Dint: models/gemini-1.5-flash is not found for API version v1beta, or is not supported for generateContent. Call ListModels to see the list of available models and their supported methods.",0.0
Voyage + Mixtral 8x7b (Pro),"Based on the '250219-pillar-3-disclosures-at-31-december-2024.pdf', explain how the bank calculates counterparty risk and which models it uses.",synthesis,0.46993303298950195,0.0,0.0,"Error: 404 POST https://generativelanguage.googleapis.com/v1beta/models/gemini-1.5-flash:generateContent?%24alt=json%3Benum-encoding%3Dint: models/gemini-1.5-flash is not found for API version v1beta, or is not supported for generateContent. Call ListModels to see the list of available models and their supported methods.",0.0
Voyage + Mixtral 8x7b (Pro),Synthesize the Capital Allocation strategy described in the 'Barclays-PLC-Annual-Report-2023.pdf'.,synthesis,30.885806560516357,0.0,0.0,"Error: 404 POST https://generativelanguage.googleapis.com/v1beta/models/gemini-1.5-flash:generateContent?%24alt=json%3Benum-encoding%3Dint: models/gemini-1.5-flash is not found for API version v1beta, or is not supported for generateContent. Call ListModels to see the list of available models and their supported methods.",0.0
Voyage + Mixtral 8x7b (Pro),What are the main Litigation matters that Wells Fargo faced in 2022 according to its annual report?,synthesis,0.5178804397583008,0.0,0.0,"Error: 404 POST https://generativelanguage.googleapis.com/v1beta/models/gemini-1.5-flash:generateContent?%24alt=json%3Benum-encoding%3Dint: models/gemini-1.5-flash is not found for API version v1beta, or is not supported for generateContent. Call ListModels to see the list of available models and their supported methods.",0.0
Voyage + Mixtral 8x7b (Pro),Explain how the '2024 ING Groep NV annual report.pdf' addresses the topic of Artificial Intelligence in banking operations.,synthesis,24.223124027252197,0.0,0.0,"Error: 404 POST https://generativelanguage.googleapis.com/v1beta/models/gemini-1.5-flash:generateContent?%24alt=json%3Benum-encoding%3Dint: models/gemini-1.5-flash is not found for API version v1beta, or is not supported for generateContent. Call ListModels to see the list of available models and their supported methods.",0.0
Voyage + Mixtral 8x7b (Pro),Analyze the 'Management's Discussion and Analysis' section of 2024 and summarize the impact of interest rates on the bank's margins.,synthesis,0.6592915058135986,0.0,0.0,"Error: 404 POST https://generativelanguage.googleapis.com/v1beta/models/gemini-1.5-flash:generateContent?%24alt=json%3Benum-encoding%3Dint: models/gemini-1.5-flash is not found for API version v1beta, or is not supported for generateContent. Call ListModels to see the list of available models and their supported methods.",0.0
